YEAR,GST_YoY_Lag1,IIP_Growth_Lag1,ECI_Growth_Lag1,Repo_Lag1,USDINR_Change_Lag1,Crude_Change,Gold_Change,FPI_Lag1,SENSEX return,CLOSE_SENSEX
5/1/2022,0.199215507,6.7,9.5,4,0.008046432,0.005534285,-0.033708218,-3884.76,-0.026190628,"55,566.41"
6/1/2022,0.371690894,19.7,19.3,4.4,0.016226119,0.005491964,-0.016137414,-4682.84,-0.045845503,"53,018.94"
7/1/2022,0.557539661,12.6,13.1,4.9,0.016482101,0.005473764,-0.028072299,-6062.49,0.085843097,"57,570.25"
8/1/2022,0.280113754,2.2,4.7,4.9,0.006080568,0.005432232,-0.03274967,370.06,0.034163826,"59,537.07"
9/1/2022,0.282012141,-0.7,4.2,5.4,0.003777386,0.005414552,-0.027923773,7336.85,-0.035442624,"57,426.92"
10/1/2022,0.262165627,3.3,8.3,5.4,0.022955344,0.005385392,-0.01715366,-1175.04,0.057806861,"60,746.59"
11/1/2022,0.165922522,-4.1,0.7,5.9,0.010300429,0.005345001,0.083454833,562.46,0.038735672,"63,099.65"
12/1/2022,0.109043079,7.6,5.7,5.9,-0.009588542,0.005328067,0.031499313,4736.11,-0.035799089,"60,840.74"
1/1/2023,0.15200339,5.1,8.3,6.25,0.014583333,-0.169046259,0.056897913,-688.02,-0.021216704,"59,549.90"
2/1/2023,0.117515214,5.8,9.7,6.25,-0.012682691,0.005621993,-0.052579715,-2892.32,-0.009870378,"58,962.12"
3/1/2023,0.124427739,6,7.4,6.5,0.011499878,0.005590563,0.078177518,-331.51,0.000498625,"58,991.52"
4/1/2023,0.126865829,1.9,4.2,6.5,-0.005563619,0.005559482,0.010687721,1559.64,0.035952964,"61,112.44"
5/1/2023,0.116360272,4.6,4.6,6.5,-0.005351496,0.005528745,-0.012759972,2095.04,0.024705281,"62,622.24"
6/1/2023,0.115022891,5.7,5.2,6.5,0.011005136,0.005498346,-0.023219011,5986.04,0.033475647,"64,718.56"
7/1/2023,0.116729822,4,8.3,6.5,-0.007740687,0.00548165,0.023322932,7649.74,0.027953496,"66,527.67"
8/1/2023,0.108124434,6.2,8.6,6.5,0.002559727,0.005438468,-0.012477473,4292.49,-0.02549706,"64,831.41"
9/1/2023,0.107637994,10.9,13.4,6.5,0.005227964,0.005409051,-0.0470866,2880.22,0.015378348,"65,828.41"
10/1/2023,0.101742887,6.4,9.5,6.5,0.004596033,0.005379951,0.073313894,-2226.19,-0.029675333,"63,874.93"
11/1/2023,0.133702,11.9,12.7,6.5,0.002528293,0.005351162,0.03069037,-1741.13,0.04874385,"66,988.44"
12/1/2023,0.151239477,2.5,7.9,6.5,0.00096073,0.005322679,0.008812167,4197.96,0.0783989,"72,240.26"
1/1/2024,0.102837994,4.4,5.1,6.5,-0.002759448,-0.121035599,-0.011522502,9555.33,-0.006757312,"71,752.11"
2/1/2024,0.105056044,4.2,4.2,6.5,-0.000481232,0.00562592,0.002476522,-139.1,0.010427429,"72,500.30"
3/1/2024,0.125420352,5.6,7.1,6.5,-0.001925855,0.005594447,0.091654437,3745.61,0.015876486,"73,651.35"
4/1/2024,0.11467506,5.5,6.3,6.5,0.005426918,0.005548759,0.024391009,7785.3,0.011288727,"74,482.78"
5/1/2024,0.124212046,5.2,6.9,6.5,0.001799208,0.005532624,0.037747322,-2683.38,-0.007001216,"73,961.31"
6/1/2024,0.099618053,6.3,6.9,6.5,-0.0026341,0.005502182,-0.019205153,-1820.65,0.068568553,"79,032.73"
7/1/2024,0.076255286,4.9,5,6.5,0.00180072,0.005472074,0.035659641,5448.77,0.034272004,"81,741.34"
8/1/2024,0.102783077,5,6.3,6.5,0.003475135,0.005442293,0.03888052,5839.8,0.007639097,"82,365.77"
9/1/2024,0.099912617,0,-1.5,6.5,0.001552424,0.005412835,0.064325033,4297.8,0.023480749,"84,299.78"
10/1/2024,0.064703279,3.2,2.4,6.5,-0.000953857,0.0053696,0.030884886,9712.45,-0.058253058,"79,389.06"
11/1/2024,0.089201933,3.7,3.8,6.5,0.00358038,0.00535494,-0.034750792,-10926.87,0.005211423,"79,802.79"
12/1/2024,0.085393232,5,5.8,6.5,0.004875728,0.005326417,-0.010051862,-2256.94,-0.020848645,"78,139.01"
1/1/2025,0.072627697,3.7,5.1,6.5,0.013254438,-0.165880721,0.066143412,1811.78,-0.008170567,"77,500.57"
2/1/2025,0.122913627,5.2,5.1,6.5,0.011913104,0.005620219,0.027878636,-5929.48,-0.055515334,"73,198.10"
3/1/2025,0.090942574,2.7,3.4,6.25,0.00877193,0.005588809,0.073057948,-3971.68,0.057608326,"77,414.92"
